Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,South Carolina,Orange Hill,Once,Member,2026,,Beau Welling,,,,,,New,Drawing boards ,,,2023-07-12,32.6661525,-80.1030673,https://www.charlestoncounty.org/departments/zoning-planning/planning-agenda/agenda.pdf?v=982,,,,,Kiawah Partners,,,
N America,USA,South Carolina,Palmetto Bluff,Once,Member,2024,9,Tad King Rob Collins,,,Paul Mentikov,,,New,Construction,,,2023-05-28,32.1955462,-80.9198857,https://www.islandpacket.com/news/local/article265454351.html,,donhabenicht,donhabenicht,,Reversible 9,,,
N America,USA,South Carolina,Palmetto Bluff,Once,Member,2025,,Bill Coore Ben Crenshaw,,,,,,New,Drawing boards ,,,2022-09-14,32.1955462,-80.9198857,https://golfclubatlas.com,,,,,,,,
N America,USA,South Carolina,The Gilroy,Once,Member,2025,,Schneider Conant,,,,,,New,Drawing boards ,,,2023-02-05,33.4569422,-81.5602724,https://golfweek.usatoday.com/2022/02/02/new-club-old-barnwell-in-south-carolina-in-development-with-fresh-ideas-big-plans/,,,,,,,Old_Barnwell/status/1497053628821032965,Old Barnwell
N America,USA,South Carolina,Tree Farm,Once,Member,2023,,Kye Goalby Tom Doak,,,Brett Hochstein,,,New,Open,,,2023-03-21,33.539347,-81.746414,https://tylerbloom.applytojob.com/apply/R4o0fIhUr7/Assistant-Golf-Course-Superintendent,qF1XkImpY_Y,the_tree_farm_golf,Zac Blair,,Aiken ,short grass,z_blair/status/1468586861295636480,Hole 15
N America,USA,South Dakota,Maplet0n GC,Holiday,Public,2025,,Scott Hoffman,,,Landscapes Unlimited,,,New,Construction,,,2023-12-02,43.6401359,-96.682918,https://www.mapletongolfclub.com/club/about#,wuYOduKVB84,mapletongc,mapletongc,,,Derek Soukup,mapletongc/status/1702344613913063508,Opening Tee Shot
N America,USA,Tennessee,Bounty Club,Once,Member,2024,,Tad King Rob Collins,,,,,,New,Construction,,,2023-12-09,36.263943,-86.8388338,https://fescue.github.io/Bounty-Club/,,bountyclubgolf,bountyclubgolf,,Nashville,,KingCollinsGolf/status/1620883432623546388,Golf Club Atlas
N America,USA,Tennessee,Golf Club of Tennessee,Once,Member,2024,,Hanse Wagner,,,,,,New,Construction,,,2023-11-19,36.068185,-87.090455,https://www.thegolfcluboftn.com/The_Club,,,,,Tahoma 31 bermuda,,,
N America,USA,Texas,Big Easy Ranch Covey,Once,Member,2023,,Chet Williams,,,Sanders Golf Cole Sanders,,,New,Open,,,2023-04-17,29.81094,-96.5852899,https://www.bigeasyranch.com/golf,,,,,,,Garrett_Barnes/status/1530277310737301507,Rain Bird
N America,USA,Texas,Childress Hall 1,Once,Member,2025,,Tom Doak,,,Heritage Links Eric Greytok,,,New,Drawing boards ,,,2023-07-15,34.5281719,-100.4509078,https://fescue.github.io/Childress-Hall/,,,,,Bert Guy,,,
