Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Archive1,Archive2
N America,USA,Minnesota,Hiawatha,2029,Tom Lehman,Rebuild,Drawing boards ,,2023-12-03,44.9202846,-93.2442062,https://www.tclf.org/hiawatha-golf-course-national-register-nomination-clears-minnesota-historic-preservation-review,,$43M,,,,,,
N America,USA,Mississippi,BrazenHead12,2021,Tad King Rob Collins,New,Drawing boards ,,2023-12-17,32.3104466,-90.26957,https://www.facebook.com/brazenheadgolfclub,,,,brazenhead12,Loops of 3/6/9/12,,,
N America,USA,Mississippi,Otter Creek LaFleur,2024,Crace RTJ II,Short,Drawing boards ,,2023-12-17,32.326884,-90.1488099,https://www.mdwfp.com/parks-destinations/state-parks/lefleurs-bluff#,,$13M,,ottercreekgp/status/1513959923159379968,State Park,,,
N America,USA,Missouri,Balducci Vineyards,2021,Rees Jones,New,Started,,2023-12-09,38.582977,-90.938623,https://www.midriversnewsmagazine.com/news/transformation-of-augusta-into-wine-country-destination-slows/article_f93435ae-7a79-11ee-bc18-e75757190011.html,,David Hoffmann,,,,,https://www.kfvs12.com/2022/04/05/crews-break-ground-soon-augusta-amphitheater-12-hole-championship-golf-course/,
N America,USA,Montana,Big Sky Resort,2025,Raymond Hearn,Short,Drawing boards ,,2023-12-09,45.2857326,-111.4056976,https://www.linksmagazine.com/new-par-3-courses-for-boyne-resorts,,,Boyne,,,,,
N America,USA,Montana,Twin Bridges,2023,TBA,New,Construction,,2023-11-29,45.5427433,-112.3388206,https://fescue.github.io/Twin-Bridges-Montana/,,,,,,,,
N America,USA,New York,Buffalo Olmsted ,2026,Jack Nicklaus,New,Drawing boards ,,2021-12-27,42.932789,-78.854945,https://www.betterparksbuffalo.org/,,$23M,,allenmendenhall/status/1347173919401385991,Dixon,,https://www.harradine-golf.com/z-tn-tunis.html,
N America,USA,New York,Garden City CC,2022,Andy Staples,Restore,Drawing boards ,Walter Travis,2022-04-21,40.7241154,-73.6668062,https://www.gardencitycountryclub.org/,,,,BPBlackMetal/status/1516825648362364928,Announcement,,,
N America,USA,North Carolina,Overhills,1995,Donald Ross,Rebuild,Abandoned,,2023-10-16,35.2181275,-79.0473055,https://www.golfclubatlas.com/forum/index.php?topic=46197.0,hv2Og6rF3cc,Chris Buie,Site view,,,,,
N America,USA,Oregon,New River Dunes,2022,David Kidd,New,Drawing boards ,,2021-11-16,42.9994479,-124.4754007,https://oregoncoastalliance.org/new-river-golf-course-keiser-tries-again-at-bandon-state-park/,,,,,,,,
